stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\breton\OneDrive\Desktop\2023 Spring 2B\Intro to Programming II\Projects\Mini Project 2\Tower_Defence\bin\Debug\allegro5.cfg r
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00020] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.04181] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.04184] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.04190] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.04193] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.04194] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.04194] added dtor for voice 00000000086EE860, func 0000000061BF1303
dtor     D               dtor.c:196  _al_register_destructor          [   0.04195] added dtor for mixer 00000000086EEDE0, func 0000000061BEC91F
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.04196] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.04196] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.04309] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.04310] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.04314] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.04315] added dtor for sample_instance 00000000085A8730, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04316] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04317] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04317] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04317] added dtor for sample_instance 00000000085A7F50, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04318] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04318] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04319] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04319] added dtor for sample_instance 00000000085A8070, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04320] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04320] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04320] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04321] added dtor for sample_instance 00000000085A8190, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04321] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04321] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04322] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04322] added dtor for sample_instance 00000000085A82B0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04323] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04329] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04329] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04330] added dtor for sample_instance 00000000085A83D0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04338] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04339] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04340] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04340] added dtor for sample_instance 00000000085A84F0, func 0000000061BE59F2
